Actual,Predicted
221.800003,213.84917
220.009995,215.59048
217.75,217.14784
218.25,217.9283
229.639999,218.31929
231.610001,220.62956
230.259995,223.69734
237.19000200000002,226.25914
231.990005,229.43996
232.710007,231.21712
230.380005,232.15977
231.130005,232.04622
226.720001,231.59875
224.520004,230.1984
227.070007,228.2189
217.020004,226.84248
218.580002,224.06212
221.089996,221.5404
234.509995,220.0898
233.389999,221.98225
230.460007,224.80243
232.559998,226.99474
229.949997,228.923
229.699997,229.83995
230.570007,230.07538
228.949997,230.10258
237.19000200000002,229.69044
238.089996,230.7433
240.009995,232.37512
223.41000400000001,234.32632
223.429993,232.8094
219.039993,230.11853
215.649994,226.53636
211.0,222.59892
207.850006,218.38411
209.970001,214.28397
200.309998,211.44553
206.179993,207.93253
204.990005,205.95552
204.720001,204.84312
198.699997,204.3415
199.970001,203.13214
202.55000300000003,202.116
196.380005,201.87032
193.559998,200.88014
188.070007,199.24606
189.699997,196.61295
191.199997,194.32494
196.940002,192.8854
182.779999,193.17168
173.479996,191.58778
175.330002,187.79883
162.600006,184.04446
147.990005,178.66922
148.25,170.9494
143.669998,163.59772
150.470001,156.90916
151.039993,152.92743
155.169998,151.06174
168.679993,151.32274
166.770004,155.0181
166.580002,159.40901
177.740005,163.36896
177.210007,168.4589
179.0,173.0444
187.429993,176.87418
190.339996,181.162
191.929993,185.35132
186.350006,188.9672
188.339996,190.55775
195.740005,191.24852
201.039993,192.70015
205.289993,195.15517
202.600006,198.37581
208.72000099999997,200.81549
205.179993,203.586
207.5,205.27283
215.149994,206.57664
218.339996,208.86887
221.929993,211.73842
226.380005,214.99382
232.740005,218.63397
238.320007,222.94609
234.240005,227.7705
222.580002,231.04938
227.75,230.72232
230.259995,229.84589
230.130005,229.27946
226.889999,228.892
229.770004,228.02606
237.589996,227.68079
246.990005,229.1339
255.470001,232.92789
265.420013,238.6948
257.200012,246.18207
250.070007,251.26956
249.91999799999996,252.88354
247.820007,252.58159
254.529999,250.98932
251.860001,250.40823
254.509995,249.77817
253.880005,249.78342
247.369995,249.9265
249.970001,248.83269
248.28999299999998,247.96478
253.75,247.02023
251.82000700000003,247.32494
253.740005,247.7294
251.470001,248.51556
247.710007,248.87125
240.759995,248.24944
241.800003,245.97568
232.320007,243.65213
222.55999800000004,239.90106
211.529999,234.42926
214.929993,227.20515
208.919998,221.28555
208.690002,215.94801
208.960007,211.92455
207.279999,209.37062
207.610001,207.72386
208.289993,206.94029
204.660004,206.88417
211.169998,206.53448
215.210007,207.3873
220.279999,209.38736
216.220001,212.5039
217.910004,214.75676
219.580002,216.52232
225.119995,218.01216
223.039993,220.1123
223.229996,221.63179
219.559998,222.61572
218.960007,222.42834
218.990005,221.61562
220.679993,220.64906
232.339996,220.09665
235.520004,222.05371
229.360001,225.34671
218.789993,227.42961
217.869995,226.56549
214.960007,224.39774
217.699997,221.46747
217.929993,219.26288
215.470001,217.83102
219.699997,216.57152
219.610001,216.46875
196.660004,216.90102
196.399994,213.1824
193.149994,208.36282
198.550003,203.31815
201.789993,200.12355
210.190002,198.97679
212.279999,200.59738
216.5,203.62001
213.979996,207.57173
214.440002,210.74338
215.940002,213.0629
216.779999,214.81573
224.779999,216.09752
224.649994,218.40976
222.529999,220.65689
221.529999,222.01552
220.399994,222.49834
226.25,222.24345
225.259995,222.79538
228.360001,223.3645
220.5,224.42625
222.270004,223.97523
230.009995,223.30075
229.509995,224.11226
228.490005,225.30714
230.610001,226.26619
234.789993,227.35258
230.009995,229.0819
227.199997,229.81943
225.789993,229.44693
230.610001,228.37125
230.029999,228.10034
226.160004,228.09772
229.080002,227.481
225.649994,227.29169
224.910004,226.65703
225.610001,225.82649
225.589996,225.2069
223.610001,224.7995
223.240005,224.19672
223.509995,223.56998
225.0,223.11249
222.929993,223.11116
224.839996,222.92303
222.61999500000002,223.07259
220.960007,222.91649
219.990005,222.35077
215.199997,221.52936
211.339996,219.83836
212.009995,217.36467
200.770004,215.14542
197.779999,211.34308
202.830002,207.04048
201.710007,204.26971
197.360001,202.50826
194.470001,200.77412
198.300003,198.89372
196.05000299999998,198.04568
196.410004,197.42459
200.419998,197.12762
205.399994,197.80077
206.339996,199.7319
204.639999,202.06152
205.220001,203.82768
206.429993,205.11537
207.449997,206.14835
208.990005,207.03438
205.809998,207.9497
206.270004,208.07848
200.699997,207.90324
204.029999,206.55022
213.699997,205.54245
211.410004,206.6703
208.460007,208.10217
201.0,208.8749
196.610001,207.81152
200.949997,205.31085
200.100006,203.42897
201.509995,201.9935
200.240005,201.30734
196.509995,200.86769
193.960007,199.95302
199.100006,198.545
203.559998,198.14407
199.100006,199.10498
200.089996,199.68709
202.759995,200.20671
202.339996,201.09962
202.240005,201.90994
204.009995,202.51341
199.970001,203.23506
197.72999600000003,203.10268
190.789993,202.19075
188.020004,199.79181
187.419998,196.65535
190.559998,193.64279
193.210007,191.81886
194.940002,191.37273
190.059998,191.98926
185.350006,192.1089
188.559998,191.14873
181.449997,190.48114
183.77000400000003,188.75272
183.929993,187.30362
188.660004,186.26852
185.020004,186.49142
184.520004,186.58835
191.16999800000002,186.54509
193.139999,187.67708
196.649994,189.498
196.119995,191.96071
189.570007,194.16068
189.399994,194.61047
181.880005,194.14287
181.470001,191.91922
186.800003,189.21927
185.85000599999998,187.74554
193.149994,186.91241
192.289993,187.89172
192.179993,189.37439
192.429993,190.82681
198.149994,192.05754
198.690002,194.02362
197.580002,196.04578
202.490005,197.50719
202.729996,199.34914
208.789993,201.03307
207.699997,203.45456
208.449997,205.51654
213.339996,207.15791
219.529999,209.19678
219.740005,212.16696
214.679993,214.99933
213.690002,216.24838
216.990005,216.34784
226.99000500000002,216.5
226.75,218.51082
229.009995,220.88318
231.279999,223.40678
229.869995,225.93538
229.729996,227.68289
229.589996,228.70175
237.75,229.14156
235.580002,230.78842
238.360001,232.17863
243.759995,233.73131
244.729996,236.0802
248.919998,238.48085
254.610001,241.24524
254.470001,244.71323
252.509995,247.73512
252.949997,249.55173
250.630005,250.53561
251.929993,250.44908
249.240005,250.13731
251.550003,249.21556
251.330002,248.65924
257.769989,248.3069
257.480011,249.39247
262.079987,250.81906
269.200012,253.05147
269.230011,256.60062
280.600006,259.99384
280.980011,264.9287
279.76001,269.52713
268.950012,272.7681
272.230011,272.518
277.390015,271.472
273.51001,271.22272
255.990005,270.50842
257.0,266.2405
246.229996,261.60062
249.990005,255.5645
250.020004,250.93723
250.479996,247.85316
251.570007,246.22093
251.210007,245.84702
248.589996,246.10768
246.869995,246.15219
244.899994,245.81421
243.690002,245.01971
246.169998,243.96375
258.0,243.49455
255.729996,245.69383
262.049988,248.15436
261.5,251.53746
